episode,nick_name,comments,like,dislike,ripple,date
0,Max,오셨네요,,,,2018-08-17 04:17:50
0,윤지,🌍,,,,2018-09-06 12:31:48
0,Jaybee,아들 이름 오찬호 입니다ㅎㅎ그녀석들은 또 언제 돌아오나요,130,18,0,2018-08-16 00:10:56
0,보노보노,아 넘나 좋다 ㅎㅎㅎㅎㅎ,71,2,0,2018-08-16 00:14:23
0,아브란즈,햄이 쓰다 ~ 술이 달다~!!!끼야야야야야아아아ㅏㅇ악,56,5,0,2018-08-16 00:11:25
0,조현두,자자....장이....!!?,51,10,0,2018-08-16 00:04:15
0,Human,"퍼펙트게임은 친구들에게 매번 추천해주는데 유료라서 안 본다, 야구는 내취향이 아니다라고 말하면서 안보는 얘들을 보면 속이 터질것같습니다. 한번이라도 보면 절대 그런말이 나올수가없어요. 진짜 단순한 스포츠웹툰이 아니라 취향나이불문하고 누구나 볼 수 있는 인생명작이라고 말할수 있는 웹툰입니다. 네이버에 연재한 한화 브랜드웹툰 '나처럼 던져봐'에 달린 댓글만 봐도 알 수 있습니다.  지금은 유료라서 모르는 사람들이 많다는게 아쉽지만, 보면 진짜 후회안합니다. 퍼펙트게임을 한번도 안 본 사람은 있어도 한번만 본 사람은 없다고 단언합니다.",46,3,5,2018-08-16 15:04:04
0,relife ace영민,동감~^^,,,,2018-08-17 16:44:06
0,prog,그래도 야구만화는 노잼이라 축구면 보지만..야구는 h2가 전 훨 잼있으다. 퍼펙트보다는 하지만 이번화는.기대다됩니다.,,,,2018-08-21 01:48:34
0,Gyungryul Kwon,ㄴㄲ,,,,2018-08-23 09:38:21
0,Brightn37,이거 누가쓴거?,,,,2020-04-09 14:54:55
0,이승준,동의합니다!!! 제 인생 최고의 웹툰!,,,,2020-11-29 20:32:26
0,착한아이,갑분장 (갑자기 분위기 장이님),37,0,0,2018-08-16 00:58:45
0,꿈바라기,와ㅡ장이님 귀환.미확인거주물체부터제 최애웹툰인 퍼펙트 게임까지 그려주신!퍼펙트게임은 10번이상 정주행한듯.우리의 마음을 울릴 좋은 작품 다시 기대합니다.,36,0,0,2018-08-16 01:02:26
0,실눈씨,무슨 내용일지 상상이안간다 ㅋㅋ,34,5,0,2018-08-16 04:36:49
0,d비d비딥,레전드가 오셨네..,32,4,0,2018-08-16 00:10:49
0,정연,드라마 보고 정주행하러 오신분들 있으시나요 ?,26,0,0,2020-12-15 22:42:34
0,홍삼,드라마로 나오겠네요,19,0,4,2018-10-25 01:51:49
0,권도훈,성지순례 오겠네,,,,2020-12-14 19:19:49
0,규규규규규,성지네,,,,2020-12-16 21:38:00
0,선우,오졌네,,,,2021-01-04 03:03:17
0,오현정,시험붙게 해주세요,,,,2021-01-06 01:08:01
0,오몽,장이???? 오오 대박 볼거생겼다,19,2,0,2018-08-16 00:06:58
0,song50,드디어 돌아온 장이작가님!!!!매주 하나의 낙이 생기겠군요 ㅋ,11,0,0,2018-08-16 00:54:38
0,10차원,그래서.. 울 찬호씨가 야구합니까? .. 할배나와요?,10,2,0,2018-08-16 02:32:09
0,이하준,이거 넷플릭스에서 드라마도 하고있던데 재밌어서 한번 들어와봤습니다,8,0,0,2020-12-13 12:13:45
0,Human,"썸네일 그림체보고 뭔가 익숙하다 싶었는데  장이님이 뙇! 보자마자 허억 하고 놀라서 방방 뛰었네요. 다음웹툰에선 유희 박흥용 이은재 작가님과 더불어 제가 제일 좋이하는 작가님..
진심으로 제 인생 최고의 웹툰을 꼽으라면 퍼펙트게임 시즌3라고 말할 수 있습니다. 
야구라곤 하나도 모르는 제가 수십번을 읽어도 질리지 않는 재미와 감동을 느꼈던 작품... 유료화되고나서도 너무 보고싶어서 다음웹툰 중 유일하게 같은화를 3번이나 결제해서 보게만든 웹툰입니다. 단행본 재판매하고나서 전권 소장중인데 너무 행복합니다ㅠㅠ",8,0,0,2018-08-16 14:57:18
0,할이키리,또 놀아주러 왔구나 형  ㅜㅜ,8,0,0,2018-08-16 00:37:20
0,김지웅,장이형님!! 오셨어요!!??!!?? 쪼 한번 사나이들 함 울려쥬세요!!,8,0,0,2018-08-16 00:05:21
0,양온유,올만여 하이,8,3,0,2018-08-16 00:04:28
0,이예빈,"여러분 이 웹툰 미쳤습니다.진짜 장담하건데 역대급 띵작이 될 겁니다.보세요.주의할 건 중간에 세계관이 몰아서 나오거나 인물 이름이 헷갈릴 때가 있는데 복습해가며 보면 정말정말 대박 재미있어요. 스토리도 탄탄하고 명대사도 갓벽한데 사이다까지 들이부어버린 최고의 작품이라고요...ㅠㅠ_오늘 처음으로 읽고 정주행 한 사람으로부터,,,,",7,0,1,2020-04-30 14:43:59
0,곰마워,띵작!!!! 내 마음의 오아시스!!!,,,,2020-09-17 00:58:17
0,기쁨,다들 드라마 보고 왔지 ㅋㅋㅋ,6,0,0,2020-12-19 10:47:22
0,닉네임을 등록해 주세요,드라마재미있어서 봤는데 원작도 재미있네요~감사해요.,6,0,0,2020-12-13 11:55:42
0,신경민,새로 땨봉누르러왓습니다~^.^,6,0,0,2018-10-18 20:52:59
0,Carpe Diem,와,5,0,0,2020-11-28 23:09:25
0,김민석,내가본 최고의 웹툰중하나.. 이제 드라마도 본다!!,5,0,0,2020-11-28 23:04:44
0,접근금지,장이님 작품 친구들한테 소개할때 만화에서 정말 시끄러운 소리가 난다고 설명했었는데 이번에 작품이 소재가 귀가 좋다고 하니 뭔가 더욱 기대하게 되네요!! 작가님 어서오세요~!,5,0,0,2018-08-16 11:27:47
0,mistyela,"드라마가 너무 재미있어서 보고 또 보고 있어요. 1,2화 보고 재방 보다가 다시 1,2,3,4화 보고 또 재방보고.. 웹툰원작이라는걸 건성으로 봤나봐요 이제야 찾아들어왔습니다.",4,0,0,2020-12-14 16:37:57
0,더치한잔,드라마 내용이 대존잼이라서 웹툰 정주행하러 왓습니다,4,0,0,2020-12-09 21:54:16
0,령아,드라마 보고 왔어여,4,0,0,2020-12-02 21:50:41
0,보노노,드라마 1화보고서 재밌어서 정주행 하러 왔습니다^^,4,0,0,2020-11-29 17:09:05
0,pinklady,어제 드라마 보고 재밌어서 원작 감상하러 왔습니다! 원작 대박 꿀잼의 기운이 느껴지네요~~,4,0,0,2020-11-29 15:10:39
0,윤서짱,경이롭네요..왜 늦게 알았지..ㅠㅜㄴ,4,0,0,2020-11-29 11:03:33
0,Phantom,아ㅋㅋ 드라마보고왔는데 개재밌네,4,0,0,2020-11-28 23:49:48
0,최수정,작가님 흥하세요 ,4,0,0,2020-11-28 23:49:23
0,후니,진짜 장이님 돌아오신건가? ㅜㅜ감동입니다~~,4,0,0,2018-10-18 16:56:12
0,후니후니,드라마보고 방문합니다 ㅎ 재미있어요 ㅎ,3,0,0,2020-12-26 23:13:29
0,heroin,그림 보니 싱크로율 100%네. 드라마 재밌게 보고 있는데 웹툰도 봐야겠어요.,3,0,0,2020-12-08 16:35:59
0,김만수,경이로운 소문이 장이님 웬툰이라는 소문듣고 왔습니다 잘보겠습니다,3,0,0,2020-12-01 21:23:23
0,미소,헉 이제 처음 봤네요  장이님  오셨으면 크게 홍보 좀 해주시지 그러셨어요~~~~ ㅎㅎ,3,0,0,2018-10-11 13:01:11
0,윤관,헐 장작가님....ㄸ,3,0,0,2018-10-11 10:52:36
0,짱짱쩡,오메!!! 너무 일찍와서 반갑소 신명나게 또 놀아보시죠!!!!!! ㅜ.ㅜ,3,0,0,2018-08-16 07:44:24
0,나답게그렇게,오셨군요 장이님  격하게 환영합니다!,3,0,0,2018-08-16 07:14:38
0,도래여울,장이님이다! 이번엔 무슨 이야기일지 궁금하네요~,3,0,0,2018-08-16 06:57:49
0,PENNY,왠지 기대된다.,3,0,0,2018-08-16 06:46:35
0,너만 내맘 몰라,오셨네 오셨어,3,0,0,2018-08-16 06:42:48
0,손재민,퍼펙트게임4는 언제 나오나요 작가님 정주행만 3번했는데,3,1,0,2018-08-16 03:26:29
0,손 건,당신은 제가 생각하는 대한민국 최고의 만화가 입니다.,3,0,0,2018-08-16 03:17:16
0,최진호,와우!!!! 퍼팩트장이님 오셨다 왕의귀환,3,0,0,2018-08-16 02:13:45
0,boykiss,두근두근...설레임..,3,0,0,2018-08-16 01:09:38
0,엄마얘흙먹어,미쳤다..이한마디면 끝.!,3,0,0,2018-08-16 00:53:13
0,purplerain,장이님 기다렸습니다!!!,3,0,0,2018-08-16 00:48:08
0,pbama,에헤라 디야 아아아아 장이님 컴백 쑈쑈 아 왓쳐풋셥----- 되도안하게 광분한 일인 !!!!!!,3,0,0,2018-08-16 00:36:37
0,dhdj,오셨다 장이님이,3,0,0,2018-08-16 00:35:39
0,남자아이,와부렀다 ........,3,0,0,2018-08-16 00:34:06
0,새봄이똥,재밌을거 같아여,3,0,0,2018-08-16 00:33:10
0,BEAK-,장이님😍이번에두 기대하겠습니당!!화이팅하세여,3,0,0,2018-08-16 00:32:09
0,Besquell,야구하는거 나오면 좋겠당,3,0,0,2018-08-16 00:27:51
0,현안,작가 이름 보고 호다닥 뛰어 왔습니다. 안늦었나요?,3,0,0,2018-08-16 00:26:30
0,jangun,오올~~~^^,3,0,0,2018-08-16 00:24:40
0,행복동,장이?!!! 진짜?!!!!!! ㅠㅠ,3,0,0,2018-08-16 00:24:38
0,검은사막,전설의 귀환!!,3,0,0,2018-08-16 00:24:26
0,내이름같이살자,우오아오아오아오앙 장이님 ,3,0,0,2018-08-16 00:23:58
0,이민주,그분이 돌아왔다..가즈아!!!,3,0,0,2018-08-16 00:19:18
0,아호,오 ~~~ 영접하라~! 그분이 오셨다 ~~ 짱이님 ~!,3,0,0,2018-08-16 00:18:06
0,음휄샤리링,오셨다!!어떤장르일지!!!♥,3,0,0,2018-08-16 00:17:21
0,지원,와 이게 웹툰으로도 있었네 난 드라마로 맨날 챙겨봤는데 이제 여기서도 즐기고 가야겠군,2,0,0,2020-12-25 10:18:48
0,abyss,"최고의 웹툰, 추천합니다.",2,0,0,2020-12-17 02:02:18
0,소설,너툽에서 예고하고 회차편집본이 있어 보는데 졸잼이라 결국 원작보러 왔어요 예고편 장면부터 역시나 졸잼 ㅎㅎㅎ,2,1,0,2020-12-13 16:28:08
0,자윤,드라마 보고 너무 재밌어서 왔네요. 드라마를 먼저 봐서 스포 당하기는 싫은데 그렇다고 다음 내용이 너무 궁금해서 지금 달릴지! 드라마 끝나고 달릴지 고민중이에요!,2,0,0,2020-12-08 02:10:11
0,CAS,Is there any link as English translate for this WEBTOON?,2,0,1,2020-12-02 19:07:27
0,줏메,Study Korean by yourself.,,,,2020-12-02 21:48:17
0,영화사랑,"세정이 병규 준상형, 혜란 님 응원합니다~~^^&*",2,0,0,2020-12-01 12:28:31
0,쭉Ai누나,드라마 일주일기다리기도힘든데  웹툰부터봐야겠어요~~웹툰원작일줄은ㅎㅎ,2,0,0,2020-11-30 22:08:56
0,예린,웹툰 드라마로 재발견 ~작가님 축하드립니다 ,2,0,0,2020-11-30 20:07:57
0,각설탕,제미있네,2,3,1,2020-11-30 15:04:00
0,박지민,이게스포?,,,,2020-12-20 22:44:19
0,뿡뿡미영,기다림이 지루합니다ㅜㅜ🤗😄👍👍💕💕,2,0,0,2020-11-29 19:11:32
0,예리니,두근두근,2,0,0,2020-11-28 22:35:26
0,닉네임을 등록해 주세요,잠만 이거 드라마 있지않나?,2,0,1,2020-11-28 20:03:36
0,줏메,웹툰이 먼저 ㅋㅋ,,,,2020-11-29 03:55:34
0,나는사슴이다,정주행하는중 ㅎㅎㅎ,2,0,0,2020-11-28 19:50:31
0,날위한 사랑,저런 국수집 있나요? ,2,0,0,2020-11-28 19:47:53
0,나야나,퍼펙트게임 시즌 진행 좀 해줘요.,2,0,0,2020-11-27 17:53:33
0,예지,코로나라서 다들 마스크를 쓴건가요? 착하네요,2,0,0,2020-11-09 19:19:49
0,윤종서,오 드라마화됬네,2,0,0,2020-11-07 19:54:40
0,미란,내용은 몰라 1등해서 와봤는데 기대되네,2,0,0,2020-10-30 17:41:22
0,웹툰마스터,믿고 보는 장사마,2,0,0,2020-10-13 00:22:44
0,캐스퍼,여러분 ~!!!!무조건 봐야해요!!!!이건 명작입니다!!!!인생작이예요~!!!!!!,2,0,0,2020-04-25 23:02:24
0,난나야,삶과 판타지와 사이다가 적절하게 어우러진 퍼펙트게임 이후 또 하나의 수작이다. 37화 까지 정주행후 추천하러 다시옴,2,0,0,2019-03-20 14:40:11
0,이순주,하하핫.!!우리가족아닙니다.??,2,0,0,2018-09-04 13:15:44
0,하루나,"작가님 작품 중 초판, 심지어 사인본 소장한 독자입니다무조건 사랑합니다~믿고보는 장이님!",2,0,0,2018-08-17 12:39:07
0,DoDreaM,장이님이다. 일단 좋다. 넘나좋다.야구가아니다. 그래도좋다. 넘나좋다.무진장 환영!!!!합니드아아악!!!,2,0,0,2018-08-16 21:21:56
0,청공,으... 으아니??! 이런 귀한곳에 누추하신 분이!!! ㄷㄷㄷ쉐끼들아아아아아앍 풍악울 울려라아아아아아아아아악!!!!!!!!!!!,2,0,0,2018-08-16 20:56:55
0,수크사마드,ㅋㅋ 갑자기 옛날영화 신장개업 생각나네,2,0,0,2018-08-16 03:32:33
0,듕듕,대작냄새가..,2,0,0,2018-08-16 00:57:55
0,바이올렛, ㅐ밌어요?,2,0,0,2018-08-16 00:55:36
0,미늘빠,드뎌 오셨네 마니 기달렸어요 감동부탁드려요,2,0,0,2018-08-16 00:15:41
0,은현,드라마 보다 산으로가서 웹툰 정주행하러 왔습니다 ,1,0,0,2021-01-17 23:43:15
0,웹툰마스터,드라마보고. 궁금해서 왔어요!!!! ㅎㅎ,1,0,0,2021-01-17 19:52:38
0,후니,봤는데 재밌어서 또보러 왔음 ㅋㅋ,1,0,0,2021-01-16 22:33:03
0,ggong,난 또 7번째 정주행 시작..,1,0,0,2021-01-15 18:12:33
0,닉네임을 등록해 주세요,드라마 보고 왔어요 넘 재미있어요,1,0,0,2021-01-15 00:22:36
0,백현,정주행 시작!,1,0,0,2021-01-14 17:44:43
0,지우,재밋엉,1,0,0,2021-01-13 18:49:29
0,닉네임을 등록해 주세요,드라마 보다가 웹툰 보니까 새롭다,1,0,0,2021-01-10 23:00:50
0,권도훈,ㅋ,1,0,0,2020-12-14 19:19:25
0,천사야옹이S2,"헉 드라마보다 같은제목이라 눌렀는데, 대박!",1,0,0,2020-12-10 20:13:51
0,아영,드라마 보고 너무 재미잇어서 웹툰 보러 왓어여!!,1,0,0,2020-12-07 23:26:21
0,Knghtlight,English version? Anywhere please,1,0,0,2020-12-07 10:13:56
0,할린스,드라마 요약 영상 유튭 보고 날라옴 개재밌나보여,1,0,0,2020-12-06 23:44:31
0,Myung,와.. 이거 장이님 만화였나요??! 퍼펙트게임 최애 웹툰이라ㅠㅠ 꼭 잘되길 바랬는데 잘되셔서 너무 좋습니다!!! 퍼펙트게임도 실사화되면 좋겠네요:-) 축하드립니다!!!,1,0,0,2020-12-06 23:27:37
0,dododo,와 이게 웹툰이었구먼 ㄷㄷㄷㄷ 다음웹툰 클라스,1,0,0,2020-12-03 11:19:15
0,김성은,드라마 파이팀,1,0,0,2020-11-30 19:33:16
0,강희,드라마보고옴요ㅡ,1,0,0,2020-11-30 16:51:22
0,JK,가족같지는 않은데?,1,0,0,2020-11-20 11:57:35
0,김민정,드라마 나오기 전에 정주행 하러 옴ㅋㅋ,1,0,0,2020-11-14 21:13:11
0,동글동글,소문듣고 왔는데 장이님 작품이군요ㅠ 새로운 작품이 있었다는걸 몰랐네요 감사히 감상하겠습니다. 감사합니다. ,1,0,0,2020-10-04 22:02:21
0,나뭇가지에 스치는 바람,다시 정주행 시작.ㅎㅎ,1,0,0,2020-09-19 20:45:48
0,동자승,명작 레전드,1,0,0,2020-09-19 18:07:53
0,동자승,추천 받아서 왔어요 정주행 달려봅니다,1,0,0,2020-09-15 19:52:06
0,민트라떼,ocn서 드라마 하신다고 보러 예습 겸 복습하러 왔어요 ㅎㅎ,1,0,0,2020-07-07 12:05:21
0,행복하자,ㅠㅠ넘 재밌어요 ㅜㅜ,1,0,0,2019-05-02 22:09:24
0,피곤허요,경이로운 장이,1,0,0,2018-08-31 16:00:40
0,인자한오빠,"솔직히 스토리와 무관하더라도, 엔젤스 팀들 국수 먹으러 한 번은 오게 할 거죠? 그렇게라도 보고 싶네요ㅋㅋ",1,0,0,2018-08-19 17:23:47
0,riri,드라마보고 왔어요 여지나 작가님 교체되기 전이요,0,0,0,2021-01-18 05:56:39
0,닉네임을 등록해 주세요,제가 TV로 드라마 본방사수 하는데 넘 잼써요 웹툰도 젬네요,0,0,0,2021-01-17 13:28:40
0,닉네임을 등록해 주세요,드라마랑 똑같은데 ....,0,1,0,2021-01-14 13:59:35
0,진정한 펀치맨,왘,0,0,0,2021-01-12 17:47:31
0,환리,.,0,0,0,2021-01-08 00:25:58
0,사람,레전드의 시작,0,0,0,2021-01-07 20:08:30
0,정태욱,1시즌거 좀 풀어주세요 ,0,0,0,2021-01-06 21:52:11
0,case,좋다,0,0,0,2021-01-04 14:55:26
0,남형주,드라마 보다가 원작웹툰 이라길래 찾아와봤네요. ,0,0,0,2021-01-03 15:48:15
0,다리우스1세,ㅎㅎㅎ,0,0,0,2020-12-28 22:00:55
0,혜진이,저경이로운고문찐찐챈임,0,0,0,2020-12-24 20:58:31
0,zeros,드라마 개봉 축하기념 정주행시작~,0,0,0,2020-12-23 14:32:51
0,Nickel,"최고의 웹툰, 추천합니다.",0,0,0,2020-12-18 22:29:59
0,박수진,39화밖에 안나왔는데 드라마로 나왔다고?,0,3,1,2020-12-18 13:06:45
0,큰아가,시즌2 39화겠지...,,,,2020-12-20 13:58:22
0,모모fm2,드라마가 원작을 너무 못따라가고 내용도 달라요ㅠㅠ,0,1,0,2020-12-12 10:55:30
0,마지막으로,드라마 보고 왔어요 가즈아~,0,0,0,2020-12-11 12:34:11
0,히츠,티비켜니 드라마 4화 하고 있길래 봤는데 꿀잼이라 검색했더니 웹툰원작이라길래 보러왔어요~~,0,0,0,2020-12-07 18:00:33
0,로로,ㅎㄷㄷ,0,0,0,2020-12-07 09:00:53
0,진정한 펀치맨,꿀젬,0,0,0,2020-12-06 19:29:34
0,라비니아,지금까지 이런맛은 없었다ㅋㅋ,0,0,0,2020-12-06 16:47:20
0,정성우,이 웹툰이 이제 드라마까지...  축하합니다.,0,0,0,2020-12-06 14:44:08
0,내일은 없다,10월 13일(화) 부터 1부가유료화 된다고 합니다.감히 작품 평가는 그렇고정주행 하시면 후회 없으실 거라확신합니다 ^^,0,0,0,2020-10-09 20:05:17
0,Mina,10점..!!!!,0,0,0,2020-10-09 11:31:27
0,박혜영,"최고의 웹툰, 추천합니다.",0,0,0,2020-08-26 22:38:21
0,지허에여,너무 잼있어욥 ㅋㅋ,0,0,0,2020-07-25 23:32:35
0,한성훈,헐 장이님 작품을 이제사 발견하다니...ㅠㅠ 정주행 갑니다.,0,0,0,2020-07-03 18:04:16
0,수빈,스릴러? ,0,0,0,2020-05-14 09:03:47
0,닉네임,재탕 하러 왔어요 ~ 예고편 이제 이해됩니다 ^^ ,0,0,0,2020-05-11 17:35:20
0,★예미니★♥^^♥,완전 좋아요,0,0,0,2020-04-09 22:52:19
0,Brightn37,코로나때문에 심심해 죽겠는데 이제 5분은 즐겁겠다,0,0,0,2020-04-09 14:55:37
0,조세경,"명작이네요 ,,",0,0,0,2020-04-07 20:30:45
0,임주형,나처럼던저봐 작가님이다!,0,0,0,2020-04-06 21:20:43
0,hoj970,기대됩니다,0,0,0,2020-04-04 22:50:52
0,시우민여자친구,우왕 기대되요,0,0,0,2019-12-05 01:47:01
0,김진호,1부 연재 끝날때 까지 기다렸다 다음부터를 결재할게요 장이님,0,0,0,2019-10-10 14:59:25
0,우보만리,퍼펙트 게임을 보고 이 작품 끝나기기를 기다림. 한방에 보려구 최고  이제 시작합니다,0,0,0,2019-10-10 06:36:32
0,caesar0927,"최고의 웹툰, 추천합니다.",0,0,0,2019-10-09 14:29:23
0,김수환,장이님 ... ? 이제 봤다니 ... 달립니다 !!!,0,0,0,2019-10-03 13:03:54
0,루시페르,찬양해라.,0,0,0,2019-09-19 12:26:14
0,부엉이,"최고의 웹툰, 추천합니다.",0,0,0,2019-09-12 16:08:31
0,beangone28,300번째 댓글,0,0,0,2019-09-12 12:50:03
0,기억속의멜로디,복귀 축하드립니다,0,0,0,2019-08-15 23:27:55
0,이장해,어스??,0,0,0,2019-04-27 10:20:35
0,Young Bae Choi,아니.. 형.. 언제 이거 하고 있었어??야구는???,0,0,0,2019-04-25 06:26:51
0,scientist,제가 눈이 어두워서 장이님 만화를 미처 몰라봤습니다. 정주행달리겠습니다.,0,0,0,2019-04-19 12:40:38
0,인상,기대가됩니다,0,0,0,2019-04-18 14:24:00
0,임은주,어스,0,0,0,2019-04-12 15:46:29
0,난나야,31화까지 정주행후 ~~~♡,0,0,0,2019-03-20 14:41:09
0,난나야,또 기대합니다,0,0,0,2019-03-19 20:07:44
0,NeverGiveUp,잼나네요,0,0,0,2019-03-07 00:17:25
0,쿠용,너무 재미있음!!,0,0,0,2019-03-01 03:31:42
0,요셉,여기 둔촌동에 뭉치네국수집이랑 집이 너무 비슷하네요 ㅋㄷ,0,0,0,2019-02-25 20:43:15
0,창화랑,퍼펙트게임과 함께 정주행 합니다~^^,0,0,0,2019-02-13 20:38:35
0,박석환,퍼펙트게임~~~~~~~,0,0,0,2019-01-03 12:01:13
0,심현우,"최고의 웹툰, 추천합니다.",0,0,0,2018-12-20 11:46:01
0,정영도,장이님이 오셨다~~~~,0,0,0,2018-10-04 09:52:35
0,김대윤,오랜만~~~~ ㅋㅋ 이제 다음에도 매일매일 ㅋㅋ,0,0,0,2018-10-03 19:58:35
0,주접박사,엇!장이님이?!,0,0,0,2018-09-24 19:56:50
0,오말,장이님!!!,0,0,0,2018-09-22 20:59:25
0,폭스바겐 Jetta,일단 보자,0,0,0,2018-09-20 22:13:29
0,삽살군,대박..장이님~~~,0,0,0,2018-09-20 15:24:39
0,마왕,장이님? 와우 격하게 반깁니다,0,0,0,2018-09-20 12:02:41
0,초코파이 사죠,엔젤스 모자야???ㅎㅎㅎㅎ,0,0,0,2018-09-20 11:38:40
0,jura,오오....!!!!  돌아오셨네 .... 항상 응원합니다.,0,0,0,2018-09-19 10:05:23
0,Bluelemon,🙂,0,0,0,2018-09-16 15:37:57
0,박현규,사랑해요 날가져요~~^^♡,0,0,0,2018-09-13 17:46:37
0,행복한야시,환영합니다.  오래 기다렸습니다~~~,0,0,0,2018-09-07 18:16:10
0,혁,장이님이다 !!,0,0,0,2018-09-07 08:49:16
0,나어랴자내러나어,작가님 반가워요,0,0,0,2018-09-06 21:30:14
0,루이 30세,환영합니다. 장이님! ,0,0,0,2018-09-06 17:35:57
0,하지마,퍼펙트게임 다시연재 해주세요..장이님,0,0,0,2018-09-06 12:58:17
0,typhoon,이번 연재도 만화가 시끄럽습니까?,0,1,0,2018-09-06 12:32:11
0,커피토끼,"오찬호, 고등어강.. 외 그들의 함성이 아직도 들리는듯..",0,0,0,2018-09-06 09:53:04
0,배준식,언제 돌아온거야?장이니뮤,0,0,0,2018-09-05 17:54:00
0,노릇노릿누릿,장이님 작품은 닥추~,0,1,0,2018-09-04 17:12:13
0,In the Rain,오오!!!,0,0,0,2018-09-04 12:18:11
0,데미안,야구는 ,0,0,0,2018-08-30 23:45:38
0,손지훈,우와와와 장이님!!!!,0,0,0,2018-08-30 19:54:19
0,sun-shain,너무 기다렸어요 ㅠㅠ 오신지도 모르고있었네,0,0,0,2018-08-30 17:14:02
0,술빈,오셨다~~!,0,0,0,2018-08-30 11:24:13
0,전포b,엥 장이형  언제 오셨엉? ㄷㄷㄷㄷ,0,0,0,2018-08-30 11:00:34
0,복스타,go,0,0,0,2018-08-30 00:13:14
0,g25385,"최고의 웹툰, 추천합니다.",0,0,0,2018-08-29 23:58:37
0,이치훈,헐.. 헐!!!,0,0,0,2018-08-27 00:38:10
0,오주형,다시 다음으로 들어올 이유가 생겼네요 ㅋㅋㅋ 야호!!,0,0,0,2018-08-26 08:08:10
0,NO31딸부자,퍼펙트게임시즌4 언제연제하나요! 찬호랑 서진이 용식이 보고싶은데....아님 오찬호 강용식이예전사연도재밌을듯한데30권짜리 한번써봅시다 ,0,0,0,2018-08-25 22:35:34
0,회색티,"놀라다 경, 귀 이",0,0,0,2018-08-24 15:29:07
0,-_-,장이다~~ (/^0^)/,0,0,0,2018-08-24 14:26:43
0,데모닉,오셨군요..ㅋㅋ,0,0,0,2018-08-24 11:23:21
0,김명찬,언제 오셨데..  ㅋㅋ ,0,0,0,2018-08-24 07:16:41
0,추동원,장이님!!,0,0,0,2018-08-24 04:01:33
0,이다원,장이님 쵝오♡♡,0,0,0,2018-08-23 23:54:56
0,ryusin84,"누, 누구요?  장이님이요???? 소리벗고 팬티질러!!!!!!",0,0,0,2018-08-23 22:25:17
0,Simpson,찬호는여?,0,0,0,2018-08-23 22:22:39
0,서승한,어마어마한 장이님 기다렸습니다^^,0,0,0,2018-08-23 20:49:52
0,김필주,대박.  이제서야 봤네요.  감사합니다.  와주셔서,0,0,0,2018-08-23 20:26:45
0,키작은하늘,"우아,,,, 장이다~~!!!!내 30대 40대를 빼앗아간 장이님... 흑흑이렇게 반가울 수가!!!",0,0,0,2018-08-23 13:41:46
0,끌리면오라,와 장이님 작품이군요 ㅎㅎ기대됩니다^^,0,0,0,2018-08-23 13:39:52
